"amt1","amt2","stateamt","cityname","cityno","citytax","cityamt","countyname","countyno","countytax","countyamt","spdname","spdno","spdtax","spdamt","transitname","transitno","transittax","transitamt","spd2name","spd2no","spd2tax","spd2amt","transit2name","transit2no","transit2tax","transit2amt"
76.90,5.19,4.806250,"Kenney",0000000,0.00000,0.0000000,"Austin",4008002,0.00500,0.3845000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
534.60,43.44,33.412500,"San Antonio",2015012,0.01125,6.0142500,"Bexar",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"San Antonio ATD",3015664,0.00250,1.3365000,"n/a",0000000,0.00000,0.0000000,"San Antonio MTA",3015995,0.00500,2.6730000
135.00,11.14,8.437500,"Hutchins",2057093,0.02000,2.7000000,"Dallas",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
239.76,19.78,14.985000,"El Paso",2071013,0.01000,2.3976000,"El Paso",4071004,0.00500,1.1988000,"n/a",0000000,0.00000,0.0000000,"El Paso CTD",3071889,0.00500,1.1988000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
324.00,26.73,20.250000,"El Paso",2071013,0.01000,3.2400000,"El Paso",4071004,0.00500,1.6200000,"n/a",0000000,0.00000,0.0000000,"El Paso CTD",3071889,0.00500,1.6200000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
292.00,24.09,18.250000,"Houston",2101017,0.01000,2.9200000,"Harris",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"Houston MTA",3101990,0.01000,2.9200000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
813.00,67.07,50.812500,"Houston",2101017,0.01000,8.1300000,"Harris",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"Houston MTA",3101990,0.01000,8.1300000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
542.00,44.72,33.875000,"Houston",2101017,0.01000,5.4200000,"Harris",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"Houston MTA",3101990,0.01000,5.4200000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
319.68,56.36,19.980000,"Katy",2101053,0.01000,3.1968000,"Fort Bend",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000,"Houston MTA",3101990,0.01000,3.1968000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
1002.00,82.67,62.625000,"Corpus Christi",2178015,0.01375,13.7775000,"Nueces",0000000,0.00000,0.0000000,"Corpus Christi Crime Con",5178505,0.00125,1.2525000,"Corpus Christi MTA",3178998,0.00500,5.0100000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
192.00,15.84,12.000000,"Corpus Christi",2178015,0.01375,2.6400000,"Nueces",0000000,0.00000,0.0000000,"Corpus Christi Crime Con",5178505,0.00125,0.2400000,"Corpus Christi MTA",3178998,0.00500,0.9600000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
403.00,33.25,25.187500,"Fort Worth",2220031,0.01000,4.0300000,"Tarrant",0000000,0.00000,0.0000000,"Fort Worth Crime Control",5220503,0.00500,2.0150000,"Fort Worth MTA",3220996,0.00500,2.0150000,"n/a",0000000,0.00000,0.0000000,"n/a",0000000,0.00000,0.0000000
